2026-09-18T16:43:23+08:00
dc532f0ad8f98b71e0c88e8d673512b1526af9cba2cf0ab71130478423ffb3ff  models/swin_l/swin_large_patch4_window12_384_22k_20220412-6580f57d.pth
Loads checkpoint by local backend from path: /root/autodl-tmp/hyperseg/models/swin_l/swin_large_patch4_window12_384_22k_20220412-6580f57d.pth
Swin pretrained missing=['norm0.weight', 'norm0.bias', 'norm1.weight', 'norm1.bias', 'norm2.weight', 'norm2.bias', 'norm3.weight', 'norm3.bias'], unexpected=['norm.weight', 'norm.bias', 'stages.0.blocks.1.attn_mask', 'stages.1.blocks.1.attn_mask', 'stages.2.blocks.1.attn_mask', 'stages.2.blocks.3.attn_mask', 'stages.2.blocks.5.attn_mask', 'stages.2.blocks.7.attn_mask', 'stages.2.blocks.9.attn_mask', 'stages.2.blocks.11.attn_mask', 'stages.2.blocks.13.attn_mask', 'stages.2.blocks.15.attn_mask', 'stages.2.blocks.17.attn_mask']
{"data_root": "/root/autodl-tmp/data/low_altitude_2026", "image_dir": "/root/autodl-tmp/data/low_altitude_2026/train/images", "mask_dir": "/root/autodl-tmp/data/low_altitude_2026/train/masks", "split_dir": "/root/autodl-tmp/hyperseg/runs/splits", "work_dir": "/root/autodl-tmp/work_dirs/mask2former_uav/h3_swin_l_hyperseg_160k_seed3407_fp32", "backbone_checkpoint": "/root/autodl-tmp/hyperseg/models/swin_l/swin_large_patch4_window12_384_22k_20220412-6580f57d.pth", "no_pretrained": false, "size": 512, "batch_size": 2, "accumulative_counts": 1, "max_iters": 160000, "val_interval": 2800, "val_size": 0, "num_workers": 4, "lr": 0.0001, "backbone_lr_multiplier": 0.1, "seed": 3407, "with_checkpointing": true, "resume": null, "eval_checkpoint": null, "eval_split": "test", "model_config": {"classes": 9, "target_widths": [64, 128, 320, 512], "context_dim": 128, "adapter_rank": 8, "adapter_scale": 0.1, "pretrained_checkpoint": "/root/autodl-tmp/hyperseg/models/swin_l/swin_large_patch4_window12_384_22k_20220412-6580f57d.pth", "with_cp": true}, "train_samples": 5598, "val_samples": 699}
/root/miniconda3/lib/python3.12/site-packages/torch/utils/checkpoint.py:464: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. In version 2.4 we will raise an exception if use_reentrant is not passed. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  warnings.warn(
iter 1/160000: loss=1.37403 grad_norm=3.0934 seconds_per_update=2.003 peak_gpu_gb=3.97
iter 50/160000: loss=1.15871 grad_norm=5.6098 seconds_per_update=0.238 peak_gpu_gb=4.01
iter 100/160000: loss=0.87910 grad_norm=4.4893 seconds_per_update=0.220 peak_gpu_gb=4.01
iter 150/160000: loss=1.08657 grad_norm=10.5707 seconds_per_update=0.214 peak_gpu_gb=4.01
iter 200/160000: loss=1.33099 grad_norm=4.7591 seconds_per_update=0.211 peak_gpu_gb=4.01
iter 250/160000: loss=0.99880 grad_norm=4.1208 seconds_per_update=0.210 peak_gpu_gb=4.01
iter 300/160000: loss=0.57719 grad_norm=2.9757 seconds_per_update=0.209 peak_gpu_gb=4.01
iter 350/160000: loss=0.86331 grad_norm=2.7338 seconds_per_update=0.208 peak_gpu_gb=4.01
iter 400/160000: loss=1.24394 grad_norm=5.6419 seconds_per_update=0.207 peak_gpu_gb=4.01
iter 450/160000: loss=0.38527 grad_norm=2.3652 seconds_per_update=0.207 peak_gpu_gb=4.01
iter 500/160000: loss=0.46844 grad_norm=4.3089 seconds_per_update=0.207 peak_gpu_gb=4.01
iter 550/160000: loss=0.44241 grad_norm=6.6217 seconds_per_update=0.207 peak_gpu_gb=4.01
iter 600/160000: loss=0.47254 grad_norm=2.0166 seconds_per_update=0.207 peak_gpu_gb=4.01
iter 650/160000: loss=0.42559 grad_norm=4.6833 seconds_per_update=0.207 peak_gpu_gb=4.01
iter 700/160000: loss=0.62100 grad_norm=6.5292 seconds_per_update=0.207 peak_gpu_gb=4.01
iter 750/160000: loss=0.47755 grad_norm=8.3473 seconds_per_update=0.207 peak_gpu_gb=4.01
iter 800/160000: loss=0.54376 grad_norm=4.0595 seconds_per_update=0.206 peak_gpu_gb=4.01
iter 850/160000: loss=0.62617 grad_norm=5.1771 seconds_per_update=0.206 peak_gpu_gb=4.01
iter 900/160000: loss=0.55102 grad_norm=5.2863 seconds_per_update=0.206 peak_gpu_gb=4.01
iter 950/160000: loss=0.79271 grad_norm=5.7285 seconds_per_update=0.206 peak_gpu_gb=4.01
iter 1000/160000: loss=0.37873 grad_norm=2.1490 seconds_per_update=0.206 peak_gpu_gb=4.01
iter 1050/160000: loss=0.45333 grad_norm=8.9816 seconds_per_update=0.206 peak_gpu_gb=4.01
iter 1100/160000: loss=0.58354 grad_norm=3.8915 seconds_per_update=0.206 peak_gpu_gb=4.01
iter 1150/160000: loss=0.17641 grad_norm=1.9050 seconds_per_update=0.206 peak_gpu_gb=4.01
iter 1200/160000: loss=0.35963 grad_norm=11.6736 seconds_per_update=0.206 peak_gpu_gb=4.01
iter 1250/160000: loss=0.43650 grad_norm=2.8055 seconds_per_update=0.206 peak_gpu_gb=4.01
