dataset,setting,steps,shots_per_class,seed,mIoU
LoveDA,semantic-head,200,10,3407,0.535868
SUIM,adapter,200,1,3407,0.202700
SUIM,adapter,200,2,3407,0.217207
SUIM,adapter,200,5,3407,0.203407
SUIM,adapter,200,10,3407,0.184149
SUIM,adapter,2000,1,3407,0.271339
SUIM,adapter,2000,2,3407,0.333996
SUIM,adapter,2000,5,3407,0.402581
SUIM,adapter,2000,10,3407,0.435610
SUIM,semantic-head,200,1,3407,0.020888
SUIM,semantic-head,200,2,3407,0.021952
SUIM,semantic-head,200,5,3407,0.022911
SUIM,semantic-head,200,10,3407,0.023910
SUIM,semantic-head,2000,1,3407,0.165610
SUIM,semantic-head,2000,2,3407,0.174845
SUIM,semantic-head,2000,5,3407,0.160630
SUIM,semantic-head,2000,10,3407,0.162551
