mode,shots_per_class,seed,support_images,mIoU,background,building,road,water,barren,forest,agriculture
zero,0,,0,0.5333954020998432,0.5500491224250604,0.6488325392081218,0.5630849841930624,0.7049576883058083,0.2903022214870545,0.3758237554817179,0.6007175035980771
adapter,1,3407,7,0.498105169174225,0.5399274602795352,0.6246637873493438,0.5724607502984959,0.6537967977391596,0.32013367671510423,0.30378958031467157,0.4719641315232654
adapter,1,3408,7,0.49221935212082685,0.5373619786658056,0.6219370116789503,0.5704643386933245,0.6356108329854984,0.3091953720236293,0.30431037866083915,0.4666555521377408
adapter,1,3409,7,0.4895774507846461,0.5375805809572961,0.6275482847390897,0.570695034900301,0.6034608053078171,0.3162181843671857,0.3013209962833346,0.47021826893749896
adapter,2,3407,14,0.516253199891801,0.5415917782653128,0.5975856248101525,0.5646133478794735,0.6643746680180724,0.3490810346488349,0.3516855255109572,0.5448404201098039
adapter,2,3408,14,0.5148626921591029,0.5413789748541518,0.5883397349977586,0.567293413231928,0.6539655145612026,0.33885708818292715,0.3526547379157038,0.5615493813700486
adapter,2,3409,14,0.5166033576136445,0.5434374197915836,0.5892919981090686,0.5640234175638528,0.6559030060342521,0.3457344253724049,0.35269797983941825,0.5651352565849317
adapter,5,3407,35,0.5352660222924212,0.5451927030203118,0.6508734298985918,0.578270085509631,0.6733918268553195,0.3394292708360653,0.3792121996642733,0.5804926402627554
adapter,5,3408,35,0.5338012974927904,0.5444437605655029,0.6482391644326636,0.5759215659340047,0.6716165332673079,0.34432562726673943,0.38115989240070286,0.5709025385826118
adapter,5,3409,35,0.5299587879637352,0.5385245156376379,0.6444682705041297,0.5716928635733242,0.6738700272954314,0.34440874335495014,0.3749722501467155,0.5617748452339575
adapter,10,3407,70,0.5546849634683301,0.535710690049419,0.6594247521299651,0.5643289381417393,0.679269717240018,0.4156914529461407,0.4282737210111501,0.6000954727598782
adapter,10,3408,70,0.5557159615741384,0.531239051997341,0.6646673310377672,0.5689778290059899,0.6793126816750629,0.4121320994357557,0.4253344428299704,0.608348295037082
adapter,10,3409,70,0.5505400584692217,0.5192107114536256,0.6609373146612174,0.559710169451846,0.6785104332076636,0.4166232398889387,0.4170075793914052,0.6017809612298551
