setting,mode,steps,shots_per_class,seed,support_images,mIoU,foreground_mIoU,pixel_accuracy,BW_background_waterbody,HD_human_divers,PF_plants_seagrass,WR_wrecks_ruins,RO_robots_instruments,RI_reefs_invertebrates,FV_fish_vertebrates,SR_sand_seafloor_rocks
adapter_200,adapter,200,1,3407,8,0.20270022748125394,0.13250891372157228,0.5616091801910456,0.6940394237990255,0.11105798410801751,0.03527457375924002,0.04120481315364397,0.0009042122497771398,0.5203612110262583,0.011149085306933081,0.207610516447136
adapter_200,adapter,200,2,3407,16,0.21720695787001337,0.14926562265051915,0.5667573174538675,0.6927963044064729,0.08871372012750463,0.05204651865277148,0.091056822256337,0.07609192758549678,0.5436489059909332,0.002483289942712587,0.19081817399787848
adapter_200,adapter,200,5,3407,40,0.20340714651904745,0.14058210975393398,0.5429344397621003,0.6431824038748416,0.1499700128106707,0.0017131366605215835,0.1342807894886647,0.019370913484046744,0.5332311248219951,0.0003204481927096724,0.1451883428189295
adapter_200,adapter,200,10,3407,79,0.18414930010481956,0.11977550542743085,0.5201870612501223,0.6347658628465405,0.1055163469710536,0.05513549046924143,0.05270222028531292,0.02472261709577942,0.5185276262089366,0.0,0.08182423696169207
adapter_2000,adapter,2000,1,3407,8,0.2713389318900714,0.2032546752934347,0.6263695805903325,0.7479287280665283,0.23985909924767687,0.095423422885869,0.22360660476299293,0.041295778469516195,0.4594781993008613,0.14888704889897864,0.21423257348814784
adapter_2000,adapter,2000,2,3407,16,0.3339964694602423,0.2664724027134084,0.6939339664308265,0.8066649366880796,0.3560074852933274,0.013709952699078364,0.28457561407066706,0.1452975196487405,0.5613663692861978,0.12394150361009114,0.3804083743857566
adapter_2000,adapter,2000,5,3407,40,0.40258122229593746,0.3458168282576686,0.716430674221023,0.7999319805638196,0.4421109256250153,0.1402297338332805,0.34781618579363793,0.16336399915752725,0.584426263190684,0.3559717087795521,0.38679898142398295
adapter_2000,adapter,2000,10,3407,79,0.43561015445345974,0.3803852704654185,0.739580648179684,0.8221843423697486,0.49624214156368246,0.10124227612532516,0.32515787559847276,0.1928869768384667,0.5566144238992691,0.47953240401879915,0.5110207952139142
semantic_head_200,semantic-head,200,1,3407,8,0.020887986857020556,0.022627268242451114,0.05524602570196936,0.008713017159006619,0.04769951581528699,0.011848946668126631,5.6003052640971076e-05,0.0029788185038439607,0.09513355171647676,0.00034599083124297204,0.0003280511095395446
semantic_head_200,semantic-head,200,2,3407,16,0.021951572557232693,0.023748979508342663,0.05449340461989185,0.009369723899462862,0.04651921826414038,0.020359413496471374,0.00017842599144769024,0.0031917261264134147,0.09505588571552284,0.0003309570996346964,0.000607229864768268
semantic_head_200,semantic-head,200,5,3407,40,0.022911429012197747,0.02485035200153026,0.05614290930672394,0.009338968086870111,0.046527173852780115,0.025259947209925773,0.0002444735903950111,0.00304297174727125,0.09799315667624864,0.0002456914141211246,0.0006390495199699438
semantic_head_200,semantic-head,200,10,3407,79,0.023909978011506156,0.02566187138125902,0.05743206214522989,0.011646724423236058,0.04684232815554721,0.03250161721417933,8.359705106758078e-05,0.002960007422393848,0.09650135717991504,0.00026331385996105326,0.000480878785749121
semantic_head_2000,semantic-head,2000,1,3407,8,0.16560978620448455,0.10120561429093594,0.4854126638848644,0.6164389895993246,0.11326622275058773,0.0026633292800404278,0.03207917444611753,0.002224771730604429,0.3905624757385684,0.028675710755238375,0.13896761533539484
semantic_head_2000,semantic-head,2000,2,3407,16,0.17484476335678045,0.11294367336202904,0.5156455065395628,0.6081523933200402,0.07893879985193512,0.0002763284730935132,0.0714369054707248,0.02279292424590772,0.49276611528675685,0.001697101824274355,0.12269753838151096
semantic_head_2000,semantic-head,2000,5,3407,40,0.16063020201511946,0.10029496601400828,0.48322084273263965,0.5829768540228978,0.05108976517110343,0.007803377449321492,0.08648038959036826,0.006533922509026243,0.48327097891875836,7.784058248706649e-05,0.06680848787699319
semantic_head_2000,semantic-head,2000,10,3407,79,0.16255128512113262,0.10108238062458541,0.48871824448493967,0.5928336165969631,0.050694561605377546,0.0315817404207035,0.08909444065635849,0.005044844577882856,0.4539879497308138,0.0021774379158660748,0.0749956894650956
